Appl_No,Appl_Type,Ingredient,Dosage,Form,Route,Trade_Name,Strength,Product_No,Exclusivity_Code,Exclusivity_Date
17031,N,NORGESTREL,,,ORAL,OPILL,LABORATOIRE HRA,1,RTO,2026-07-13
18680,N,COPPER,,,INTRAUTERINE,PARAGARD T 380A,COOPERSURGICAL,1,D-193,2027-06-28
19569,N,TIOPRONIN,,,ORAL,THIOLA,MISSION PHARMA,1,ODE-267,2026-06-28
20263,N,LEUPROLIDE ACETATE,,,INTRAMUSCULAR,LUPRON DEPOT-PED KIT,ABBVIE ENDOCRINE INC,9,NS,2026-04-14
20825,N,ZIPRASIDONE HYDROCHLORIDE,,,ORAL,GEODON,VIATRIS,1,M-232,2025-01-28
20825,N,ZIPRASIDONE HYDROCHLORIDE,,,ORAL,GEODON,VIATRIS,2,M-232,2025-01-28
20825,N,ZIPRASIDONE HYDROCHLORIDE,,,ORAL,GEODON,VIATRIS,3,M-232,2025-01-28
20825,N,ZIPRASIDONE HYDROCHLORIDE,,,ORAL,GEODON,VIATRIS,4,M-232,2025-01-28
20988,N,PANTOPRAZOLE SODIUM,,,INTRAVENOUS,PROTONIX IV,WYETH PHARMS,1,NPP,2027-08-12
21038,N,DEXMEDETOMIDINE HYDROCHLORIDE,,,INJECTION,PRECEDEX,HOSPIRA,1,NPP,2025-12-16
21038,N,DEXMEDETOMIDINE HYDROCHLORIDE,,,INJECTION,PRECEDEX,HOSPIRA,2,NPP,2025-12-16
21038,N,DEXMEDETOMIDINE HYDROCHLORIDE,,,INJECTION,PRECEDEX,HOSPIRA,3,NPP,2025-12-16
21038,N,DEXMEDETOMIDINE HYDROCHLORIDE,,,INJECTION,PRECEDEX,HOSPIRA,4,NPP,2025-12-16
21038,N,DEXMEDETOMIDINE HYDROCHLORIDE,,,INJECTION,PRECEDEX,HOSPIRA,5,NPP,2025-12-16
21164,N,GEPIRONE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,EXXUA,FABRE KRAMER,1,NCE,2028-09-22
21164,N,GEPIRONE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,EXXUA,FABRE KRAMER,2,NCE,2028-09-22
21164,N,GEPIRONE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,EXXUA,FABRE KRAMER,3,NCE,2028-09-22
21164,N,GEPIRONE HYDROCHLORIDE,TABLET,EXTENDED RELEASE,ORAL,EXXUA,FABRE KRAMER,4,NCE,2028-09-22
21196,N,SODIUM OXYBATE,,,ORAL,XYREM,JAZZ PHARMS,1,ODE-231,2025-10-26
21248,N,ARSENIC TRIOXIDE,,,INJECTION,TRISENOX,CEPHALON,1,ODE-167,2025-01-12
21248,N,ARSENIC TRIOXIDE,,,INJECTION,TRISENOX,CEPHALON,2,ODE-167,2025-01-12
21323,N,ESCITALOPRAM OXALATE,,,ORAL,LEXAPRO,ABBVIE,1,NPP,2026-05-12
21323,N,ESCITALOPRAM OXALATE,,,ORAL,LEXAPRO,ABBVIE,2,NPP,2026-05-12
21323,N,ESCITALOPRAM OXALATE,,,ORAL,LEXAPRO,ABBVIE,3,NPP,2026-05-12
21365,N,ESCITALOPRAM OXALATE,,,ORAL,LEXAPRO,ABBVIE,1,NPP,2026-05-12
21825,N,DEFERIPRONE,,,ORAL,FERRIPROX,CHIESI,1,ODE-417,2028-04-30
21825,N,DEFERIPRONE,,,ORAL,FERRIPROX,CHIESI,1,ODE-420,2028-04-30
21825,N,DEFERIPRONE,,,ORAL,FERRIPROX,CHIESI,1,ODE-421,2028-04-30
