Appl_No,Appl_Type,Ingredient,Dosage,Form,Route,Trade_Name,Applicant,Strength,Product_No,Patent_No,Patent_Expire_Date_Text,Drug_Substance_Flag,Drug_Product_Flag,Patent_Use_Code,Submission_Date
20610,N,BALSALAZIDE DISODIUM,,,ORAL,COLAZAL,VALEANT PHARMS INTL,750MG,1,7625884,2026-08-24,,,U-141,
18613,N,MALATHION,,,TOPICAL,OVIDE,TARO,0.005,1,7560445,2027-02-01,Y,Y,U-986,
19734,N,NICARDIPINE HYDROCHLORIDE,,,INJECTION,CARDENE,CHIESI,25MG/10ML,2,8455524,2027-04-18,,,U-1029,2013-06-27
19734,N,NICARDIPINE HYDROCHLORIDE,,,INJECTION,CARDENE,CHIESI,25MG/10ML,5,8455524,2027-04-18,,,U-1029,
20832,N,CHLORHEXIDINE GLUCONATE; ISOPROPYL ALCOHOL,,,TOPICAL,CHLORAPREP ONE-STEP,BECTON DICKINSON CO,2%;70% (3ML),7,7422388,2027-04-25,,Y,U-1397,
20845,N,NITRIC OXIDE,,,INHALATION,INOMAX,MALLINCKRODT HOSP,100PPM,2,8431163,2029-06-30,,,U-1286,2013-05-01
20845,N,NITRIC OXIDE,,,INHALATION,INOMAX,MALLINCKRODT HOSP,100PPM,3,8282966,2029-06-30,,,U-1286,
20845,N,NITRIC OXIDE,,,INHALATION,INOMAX,MALLINCKRODT HOSP,100PPM,3,8293284,2029-06-30,,,U-1286,
21038,N,DEXMEDETOMIDINE HYDROCHLORIDE,,,INJECTION,PRECEDEX,HOSPIRA,EQ 1MG BASE/250ML (EQ 4MCG BASE/ML),2,8455527,2032-01-04,,,U-421,
21038,N,DEXMEDETOMIDINE HYDROCHLORIDE,,,INJECTION,PRECEDEX,HOSPIRA,EQ 1MG BASE/250ML (EQ 4MCG BASE/ML),3,8455527,2032-01-04,,,U-421,
21400,N,VARDENAFIL HYDROCHLORIDE,,,ORAL,LEVITRA,BAYER HLTHCARE,EQ,3,8273876,2027-07-23,,,U-1288,
21528,N,KETOROLAC TROMETHAMINE,,,OPHTHALMIC,ACULAR LS,ABBVIE,0.004,1,8008338,2027-05-24,Y,Y,U-1181,2011-09-23
21539,N,ACETYLCYSTEINE,,,INTRAVENOUS,ACETADOTE,CUMBERLAND PHARMS,6GM/30ML (200MG/ML),1,8399445,2025-08-24,,,U-1373,2013-03-28
21572,N,DAPTOMYCIN,,,INTRAVENOUS,CUBICIN,CUBIST PHARMS LLC,250MG/VIAL,2,8003673,2028-09-04,,,U-1180,2011-09-23
21223,N,ZOLEDRONIC ACID,,,INTRAVENOUS,ZOMETA,NOVARTIS,EQ,2,8324189,2025-05-29,,,U-1308,2012-12-21
21223,N,ZOLEDRONIC ACID,,,INTRAVENOUS,ZOMETA,NOVARTIS,EQ,3,8324189,2025-05-29,,,U-1308,2012-12-21
21633,N,ESTRADIOL ACETATE,,,ORAL,FEMTRACE,APIL,0.45MG,2,7572779,2025-10-02,,,U-904,
208351,N,EMTRICITABINE; RILPIVIRINE HYDROCHLORIDE; TENOFOVIR ALAFENAMIDE FUMARATE,,,ORAL,ODEFSEY,GILEAD SCIENCES INC,200MG;EQ 25MG BASE;EQ 25MG BASE,1,9296769,2032-08-15,Y,Y,U-257,2016-04-19
21660,N,PACLITAXEL,,,INTRAVENOUS,ABRAXANE,BRISTOL-MYERS,100MG/VIAL,1,8034375,2026-08-13,,,U-1290,2012-10-24
21669,N,CHLORHEXIDINE GLUCONATE,,,TOPICAL,CHLORHEXIDINE GLUCONATE,SAGE PRODS,0.02,1,7935093,2027-10-02,,Y,U-1022,2011-05-24
21688,N,CINACALCET HYDROCHLORIDE,,,ORAL,SENSIPAR,AMGEN,EQ 30MG BASE,1,7829595,2026-09-22,,Y,U-1098,2010-12-02
21688,N,CINACALCET HYDROCHLORIDE,,,ORAL,SENSIPAR,AMGEN,EQ 30MG BASE,2,7829595,2026-09-22,,Y,U-1098,
202880,N,HYDROCODONE BITARTRATE,CAPSULE,EXTENDED RELEASE,ORAL,ZOHYDRO ER,RECRO GAINESVILLE,10MG,1,9326982,2033-07-25,,,U-1810,2016-05-04
202880,N,HYDROCODONE BITARTRATE,CAPSULE,EXTENDED RELEASE,ORAL,ZOHYDRO ER,RECRO GAINESVILLE,10MG,3,9326982,2033-07-25,,,U-1810,2016-05-04
202880,N,HYDROCODONE BITARTRATE,CAPSULE,EXTENDED RELEASE,ORAL,ZOHYDRO ER,RECRO GAINESVILLE,10MG,4,9326982,2033-07-25,,,U-1810,2016-05-04
202880,N,HYDROCODONE BITARTRATE,CAPSULE,EXTENDED RELEASE,ORAL,ZOHYDRO ER,RECRO GAINESVILLE,10MG,5,9326982,2033-07-25,,,U-1810,2016-05-04
21695,N,FENOFIBRATE,,,ORAL,ANTARA (MICRONIZED),LUPIN,30MG,5,9314447,2033-05-31,,Y,U-1447,2016-05-02
208251,N,CIPROFLOXACIN HYDROCHLORIDE; FLUOCINOLONE ACETONIDE,,,OTIC,OTOVEL,LABORATORIOS SALVAT,EQ 0.3% BASE;0.025%,1,8932610,2030-03-24,,Y,U-1578,2016-05-09
21829,N,ROTIGOTINE,FILM,EXTENDED RELEASE,TRANSDERMAL,NEUPRO,UCB INC,1MG/24HR,1,8246979,2027-09-01,,Y,U-1272,2012-09-11
21829,N,ROTIGOTINE,FILM,EXTENDED RELEASE,TRANSDERMAL,NEUPRO,UCB INC,1MG/24HR,4,8246979,2027-09-01,,Y,U-1272,
21829,N,ROTIGOTINE,FILM,EXTENDED RELEASE,TRANSDERMAL,NEUPRO,UCB INC,1MG/24HR,5,8246979,2027-09-01,,Y,U-1273,
21829,N,ROTIGOTINE,FILM,EXTENDED RELEASE,TRANSDERMAL,NEUPRO,UCB INC,1MG/24HR,6,8246979,2027-09-01,,Y,U-1273,
21856,N,FEBUXOSTAT,,,ORAL,ULORIC,TAKEDA PHARMS USA,40MG,2,8372872,2031-09-08,,,U-1346,
21862,N,NEPAFENAC,,,OPHTHALMIC,NEVANAC,HARROW EYE,0.001,1,7834059,2027-01-31,,,U-1095,2010-11-30
21897,N,NALTREXONE,FOR SUSPENSION,EXTENDED RELEASE,INTRAMUSCULAR,VIVITROL,ALKERMES,380MG/VIAL,1,7919499,2029-10-15,,,U-1124,2011-05-16
21897,N,NALTREXONE,FOR SUSPENSION,EXTENDED RELEASE,INTRAMUSCULAR,VIVITROL,ALKERMES,380MG/VIAL,1,7919499,2029-10-15,,,U-1123,2011-05-16
21902,N,SINECATECHINS,,,TOPICAL,VEREGEN,ANI PHARMS,0.15,1,7858662,2026-10-02,,Y,U-172,2011-08-03
22108,N,BUPROPION HYDROBROMIDE,TABLET,EXTENDED RELEASE,ORAL,APLENZIN,BAUSCH,174MG,2,7569610,2026-06-27,,,U-997,
22184,N,BIMATOPROST,,,OPHTHALMIC,LUMIGAN,ABBVIE,0.0001,1,8309605,2025-03-16,,,U-1293,2012-11-16
22202,N,DICLOFENAC POTASSIUM,,,ORAL,ZIPSOR,ASSERTIO,25MG,1,7884095,2029-02-24,,,U-1111,2011-02-22
22202,N,DICLOFENAC POTASSIUM,,,ORAL,ZIPSOR,ASSERTIO,25MG,1,8110606,2029-02-24,,,U-980,2012-02-13
22249,N,BENDAMUSTINE HYDROCHLORIDE,,,INTRAVENOUS,TREANDA,CEPHALON,25MG/VIAL,2,8445524,2029-03-26,Y,Y,U-1402,2013-06-04
22252,N,DIENOGEST; ESTRADIOL VALERATE,,,ORAL,NATAZIA,BAYER HLTHCARE,"N/A,2MG,3MG,N/A,N/A;3MG,2MG,2MG,1MG,N/A",1,8153616,2028-01-30,,,U-1240,2012-05-09
22256,N,MILNACIPRAN HYDROCHLORIDE,,,ORAL,SAVELLA,ABBVIE,12.5MG,1,7994220,2029-09-19,,,U-819,2011-09-01
22256,N,MILNACIPRAN HYDROCHLORIDE,,,ORAL,SAVELLA,ABBVIE,12.5MG,2,7994220,2029-09-19,,,U-819,
22256,N,MILNACIPRAN HYDROCHLORIDE,,,ORAL,SAVELLA,ABBVIE,12.5MG,3,7994220,2029-09-19,,,U-819,
22256,N,MILNACIPRAN HYDROCHLORIDE,,,ORAL,SAVELLA,ABBVIE,12.5MG,4,7994220,2029-09-19,,,U-819,
22271,N,ALOGLIPTIN BENZOATE,,,ORAL,NESINA,TAKEDA PHARMS USA,EQ 6.25MG BASE,1,7807689,2028-06-27,Y,Y,U-1337,
22271,N,ALOGLIPTIN BENZOATE,,,ORAL,NESINA,TAKEDA PHARMS USA,EQ 6.25MG BASE,3,7807689,2028-06-27,Y,Y,U-1337,
203510,N,PHENYLEPHRINE HYDROCHLORIDE,,,OPHTHALMIC,PHENYLEPHRINE HYDROCHLORIDE,PARAGON BIOTECK,0.025,2,8859623,2033-11-14,,,U-1594,2014-10-17
22287,N,DEXLANSOPRAZOLE,CAPSULE,DELAYED RELEASE,ORAL,DEXILANT,TAKEDA PHARMS USA,30MG,1,8173158,2030-03-17,,,U-951,2012-06-01
22287,N,DEXLANSOPRAZOLE,CAPSULE,DELAYED RELEASE,ORAL,DEXILANT,TAKEDA PHARMS USA,30MG,1,8173158,2030-03-17,,,U-949,2012-06-01
22287,N,DEXLANSOPRAZOLE,CAPSULE,DELAYED RELEASE,ORAL,DEXILANT,TAKEDA PHARMS USA,30MG,2,8173158,2030-03-17,,,U-951,
22287,N,DEXLANSOPRAZOLE,CAPSULE,DELAYED RELEASE,ORAL,DEXILANT,TAKEDA PHARMS USA,30MG,2,8173158,2030-03-17,,,U-950,
22287,N,DEXLANSOPRAZOLE,CAPSULE,DELAYED RELEASE,ORAL,DEXILANT,TAKEDA PHARMS USA,30MG,2,8173158,2030-03-17,,,U-949,
203093,N,ELVITEGRAVIR,,,ORAL,VITEKTA,GILEAD SCIENCES INC,85MG,1,7635704,2026-10-26,Y,Y,U-257,2014-10-17
